Producto,Tienda,Semana,Precio,Pedido,Venta,Inventario,DemandaInsatisfecha,Activacion
5,1,11,26897.192,17065.0,9331.0,9331.0,0.0,1.0
5,1,12,26897.192,4240.0,13198.0,13198.0,0.0,1.0
5,1,13,26897.192,12653.0,8719.0,8719.0,0.0,1.0
5,1,14,26897.192,5038.0,10686.0,10686.0,0.0,1.0
5,1,15,26897.192,7698.0,7862.0,7862.0,0.0,1.0
5,1,16,26897.192,0.0,7780.0,7780.0,0.0,-0.0
5,1,17,26897.192,0.0,3890.0,3890.0,8062.0,-0.0
5,1,18,26897.192,0.0,1945.0,1945.0,2258.0,-0.0
5,1,19,26871.6,0.0,972.5,972.5,10640.5,-0.0
5,1,20,26897.192,0.0,486.25,486.25,8931.75,0.0
5,2,10,26897.192,15916.0,2919.0,5000.0,0.0,1.0
5,2,11,26897.192,5520.0,10458.0,10458.0,0.0,1.0
5,2,12,26897.192,5609.0,7989.0,7989.0,0.0,1.0
5,2,13,26897.192,5181.0,6799.0,6799.0,0.0,1.0
5,2,14,26897.192,8374.0,5990.0,5990.0,0.0,1.0
5,2,15,26897.192,0.0,7182.0,7182.0,777.0,-0.0
5,2,16,26897.192,0.0,3591.0,3591.0,0.0,0.0
5,2,17,26897.192,0.0,1795.5,1795.5,5444.5,-0.0
5,2,18,26871.6,0.0,897.75,897.75,9489.25,-0.0
5,2,19,26871.6,0.0,448.875,448.875,9541.125,-0.0
5,2,20,26897.192,0.0,224.4375,224.4375,1120.5625,0.0
6,1,10,50884.8,508.0,2403.0,5000.0,0.0,1.0
6,1,11,50884.8,0.0,2754.0,2754.0,0.0,-0.0
6,1,12,50884.8,2412.0,1274.0,1480.0,0.0,1.0
6,1,13,50884.8,3268.0,1946.0,1946.0,0.0,1.0
6,1,14,50884.8,3403.0,2607.0,2607.0,0.0,1.0
6,1,15,50884.8,3617.0,3005.0,3005.0,0.0,1.0
6,1,16,50884.8,0.0,3311.0,3311.0,0.0,-0.0
6,1,17,50064.84856596559,0.0,1655.5,1655.5,436.5,-0.0
6,1,18,47534.48931013051,0.0,827.75,827.75,2390.25,-0.0
6,1,19,47481.89826815643,0.0,413.875,413.875,3166.125,-0.0
6,1,20,47216.41536585366,0.0,206.9375,206.9375,2048.0625,0.0
6,2,10,47084.8,0.0,2306.0,5000.0,0.0,-0.0
6,2,11,47084.8,611.0,1887.0,3113.0,0.0,1.0
6,2,12,47084.8,2166.0,1862.0,1862.0,0.0,1.0
6,2,13,47084.8,3474.0,2014.0,2014.0,0.0,1.0
6,2,14,47084.8,2136.0,2744.0,2744.0,0.0,1.0
6,2,15,47084.8,1120.0,2440.0,2440.0,0.0,1.0
6,2,16,47084.8,0.0,1780.0,1780.0,0.0,-0.0
6,2,17,47046.06141684402,0.0,890.0,890.0,2399.0,-0.0
6,2,18,47075.29521345407,0.0,445.0,445.0,328.0,-0.0
6,2,19,47042.58960893855,0.0,222.5,222.5,1990.5,-0.0
6,2,20,47040.685934489404,0.0,111.25,111.25,3521.75,0.0
7,1,10,161163.49560578653,2718.0,5000.0,5000.0,584.0,1.0
7,1,11,160955.15192357008,3781.0,3859.0,3859.0,0.0,1.0
7,1,12,160999.5738214737,3984.0,3820.0,3820.0,0.0,1.0
7,1,13,161015.55845955724,6716.0,3902.0,3902.0,0.0,1.0
7,1,14,161285.12375845664,0.0,5309.0,5309.0,0.0,-0.0
7,1,15,161128.67354718546,6289.0,352.0,4957.0,0.0,1.0
7,1,16,161131.29991831534,11391.0,5623.0,5623.0,0.0,1.0
7,1,17,161217.83431881873,6285.0,8507.0,8507.0,0.0,1.0
7,1,18,161199.67613221388,4224.0,7396.0,7396.0,0.0,1.0
7,1,19,161046.9843485941,0.0,5810.0,5810.0,0.0,-0.0
